# Time	field	min	position(min)	max	position(max)
1109	Ua	0	(0 0.0093083 0)	0.450698	(0.0749621 0.013582 -1.33482e-20)
1110	Ua	0	(0 0.0093083 0)	0.450711	(0.0749621 0.013582 -1.33482e-20)
1111	Ua	0	(0 0.0093083 0)	0.450723	(0.0749621 0.013582 -1.33482e-20)
1112	Ua	0	(0 0.0093083 0)	0.450735	(0.0749621 0.013582 -1.33482e-20)
1113	Ua	0	(0 0.0093083 0)	0.450747	(0.0749621 0.013582 -1.33482e-20)
1114	Ua	0	(0 0.0093083 0)	0.450758	(0.0749621 0.013582 -1.33482e-20)
1115	Ua	0	(0 0.0093083 0)	0.450768	(0.0749621 0.013582 -1.33482e-20)
1116	Ua	0	(0 0.0093083 0)	0.450778	(0.0749621 0.013582 -1.33482e-20)
1117	Ua	0	(0 0.0093083 0)	0.450787	(0.0749621 0.013582 -1.33482e-20)
1118	Ua	0	(0 0.0093083 0)	0.450796	(0.0749621 0.013582 -1.33482e-20)
1119	Ua	0	(0 0.0093083 0)	0.450805	(0.0749621 0.013582 -1.33482e-20)
1120	Ua	0	(0 0.0093083 0)	0.450813	(0.0749621 0.013582 -1.33482e-20)
1121	Ua	0	(0 0.0093083 0)	0.450821	(0.0749621 0.013582 -1.33482e-20)
1122	Ua	0	(0 0.0093083 0)	0.450828	(0.0749621 0.013582 -1.33482e-20)
1123	Ua	0	(0 0.0093083 0)	0.450836	(0.0749621 0.013582 -1.33482e-20)
1124	Ua	0	(0 0.0093083 0)	0.450842	(0.0749621 0.013582 -1.33482e-20)
1125	Ua	0	(0 0.0093083 0)	0.450849	(0.0749621 0.013582 -1.33482e-20)
1126	Ua	0	(0 0.0093083 0)	0.450855	(0.0749621 0.013582 -1.33482e-20)
1127	Ua	0	(0 0.0093083 0)	0.450861	(0.0749621 0.013582 -1.33482e-20)
1128	Ua	0	(0 0.0093083 0)	0.450867	(0.0749621 0.013582 -1.33482e-20)
1129	Ua	0	(0 0.0093083 0)	0.450872	(0.0749621 0.013582 -1.33482e-20)
1130	Ua	0	(0 0.0093083 0)	0.450878	(0.0749621 0.013582 -1.33482e-20)
1131	Ua	0	(0 0.0093083 0)	0.450883	(0.0749621 0.013582 -1.33482e-20)
1132	Ua	0	(0 0.0093083 0)	0.450887	(0.0749621 0.013582 -1.33482e-20)
1133	Ua	0	(0 0.0093083 0)	0.450892	(0.0749621 0.013582 -1.33482e-20)
1134	Ua	0	(0 0.0093083 0)	0.450896	(0.0749621 0.013582 -1.33482e-20)
1135	Ua	0	(0 0.0093083 0)	0.4509	(0.0749621 0.013582 -1.33482e-20)
1136	Ua	0	(0 0.0093083 0)	0.450904	(0.0749621 0.013582 -1.33482e-20)
1137	Ua	0	(0 0.0093083 0)	0.450908	(0.0749621 0.013582 -1.33482e-20)
1138	Ua	0	(0 0.0093083 0)	0.450912	(0.0749621 0.013582 -1.33482e-20)
1139	Ua	0	(0 0.0093083 0)	0.450915	(0.0749621 0.013582 -1.33482e-20)
1140	Ua	0	(0 0.0093083 0)	0.450918	(0.0749621 0.013582 -1.33482e-20)
1141	Ua	0	(0 0.0093083 0)	0.450922	(0.0749621 0.013582 -1.33482e-20)
1142	Ua	0	(0 0.0093083 0)	0.450925	(0.0749621 0.013582 -1.33482e-20)
1143	Ua	0	(0 0.0093083 0)	0.450927	(0.0749621 0.013582 -1.33482e-20)
1144	Ua	0	(0 0.0093083 0)	0.45093	(0.0749621 0.013582 -1.33482e-20)
1145	Ua	0	(0 0.0093083 0)	0.450933	(0.0749621 0.013582 -1.33482e-20)
1146	Ua	0	(0 0.0093083 0)	0.450935	(0.0749621 0.013582 -1.33482e-20)
1147	Ua	0	(0 0.0093083 0)	0.450938	(0.0749621 0.013582 -1.33482e-20)
1148	Ua	0	(0 0.0093083 0)	0.45094	(0.0749621 0.013582 -1.33482e-20)
1149	Ua	0	(0 0.0093083 0)	0.450942	(0.0749621 0.013582 -1.33482e-20)
1150	Ua	0	(0 0.0093083 0)	0.450944	(0.0749621 0.013582 -1.33482e-20)
1151	Ua	0	(0 0.0093083 0)	0.450946	(0.0749621 0.013582 -1.33482e-20)
1152	Ua	0	(0 0.0093083 0)	0.450948	(0.0749621 0.013582 -1.33482e-20)
1153	Ua	0	(0 0.0093083 0)	0.45095	(0.0749621 0.013582 -1.33482e-20)
1154	Ua	0	(0 0.0093083 0)	0.450952	(0.0749621 0.013582 -1.33482e-20)
