# Time	field	min	position(min)	max	position(max)
1106	Ua	0	(0.0101886 0.0130353 0)	57.4711	(0.0498085 0.0148949 -2.71874e-20)
1107	Ua	0	(0.0101886 0.0130353 0)	57.5044	(0.0498085 0.0148949 -2.71874e-20)
1108	Ua	0	(0.0101886 0.0130353 0)	57.5373	(0.0498085 0.0148949 -2.71874e-20)
1109	Ua	0	(0.0101886 0.0130353 0)	57.5698	(0.0498085 0.0148949 -2.71874e-20)
1110	Ua	0	(0.0101886 0.0130353 0)	57.602	(0.0498085 0.0148949 -2.71874e-20)
1111	Ua	0	(0.0101886 0.0130353 0)	57.6338	(0.0498085 0.0148949 -2.71874e-20)
1112	Ua	0	(0.0101886 0.0130353 0)	57.6651	(0.0498085 0.0148949 -2.71874e-20)
1113	Ua	0	(0.0101886 0.0130353 0)	57.696	(0.0498085 0.0148949 -2.71874e-20)
1114	Ua	0	(0.0101886 0.0130353 0)	57.7266	(0.0498085 0.0148949 -2.71874e-20)
1115	Ua	0	(0.0101886 0.0130353 0)	57.7567	(0.0498085 0.0148949 -2.71874e-20)
1116	Ua	0	(0.0101886 0.0130353 0)	57.7865	(0.0498085 0.0148949 -2.71874e-20)
1117	Ua	0	(0.0101886 0.0130353 0)	57.8157	(0.0498085 0.0148949 -2.71874e-20)
1118	Ua	0	(0.0101886 0.0130353 0)	57.8446	(0.0498085 0.0148949 -2.71874e-20)
1119	Ua	0	(0.0101886 0.0130353 0)	57.8731	(0.0498085 0.0148949 -2.71874e-20)
1120	Ua	0	(0.0101886 0.0130353 0)	57.9015	(0.0498085 0.0148949 -2.71874e-20)
1121	Ua	0	(0.0101886 0.0130353 0)	57.9296	(0.0498085 0.0148949 -2.71874e-20)
1122	Ua	0	(0.0101886 0.0130353 0)	57.9573	(0.0498085 0.0148949 -2.71874e-20)
1123	Ua	0	(0.0101886 0.0130353 0)	57.9847	(0.0498085 0.0148949 -2.71874e-20)
1124	Ua	0	(0.0101886 0.0130353 0)	58.0118	(0.0498085 0.0148949 -2.71874e-20)
1125	Ua	0	(0.0101886 0.0130353 0)	58.0385	(0.0498085 0.0148949 -2.71874e-20)
1126	Ua	0	(0.0101886 0.0130353 0)	58.0649	(0.0498085 0.0148949 -2.71874e-20)
1127	Ua	0	(0.0101886 0.0130353 0)	58.091	(0.0498085 0.0148949 -2.71874e-20)
1128	Ua	0	(0.0101886 0.0130353 0)	58.1167	(0.0498085 0.0148949 -2.71874e-20)
1129	Ua	0	(0.0101886 0.0130353 0)	58.142	(0.0498085 0.0148949 -2.71874e-20)
1130	Ua	0	(0.0101886 0.0130353 0)	58.167	(0.0498085 0.0148949 -2.71874e-20)
1131	Ua	0	(0.0101886 0.0130353 0)	58.1916	(0.0498085 0.0148949 -2.71874e-20)
1132	Ua	0	(0.0101886 0.0130353 0)	58.2158	(0.0498085 0.0148949 -2.71874e-20)
1133	Ua	0	(0.0101886 0.0130353 0)	58.2398	(0.0498085 0.0148949 -2.71874e-20)
1134	Ua	0	(0.0101886 0.0130353 0)	58.2635	(0.0498085 0.0148949 -2.71874e-20)
1135	Ua	0	(0.0101886 0.0130353 0)	58.2869	(0.0498085 0.0148949 -2.71874e-20)
1136	Ua	0	(0.0101886 0.0130353 0)	58.3101	(0.0498085 0.0148949 -2.71874e-20)
1137	Ua	0	(0.0101886 0.0130353 0)	58.3331	(0.0498085 0.0148949 -2.71874e-20)
1138	Ua	0	(0.0101886 0.0130353 0)	58.3559	(0.0498085 0.0148949 -2.71874e-20)
1139	Ua	0	(0.0101886 0.0130353 0)	58.3785	(0.0498085 0.0148949 -2.71874e-20)
1140	Ua	0	(0.0101886 0.0130353 0)	58.4008	(0.0498085 0.0148949 -2.71874e-20)
1141	Ua	0	(0.0101886 0.0130353 0)	58.4228	(0.0498085 0.0148949 -2.71874e-20)
1142	Ua	0	(0.0101886 0.0130353 0)	58.4445	(0.0498085 0.0148949 -2.71874e-20)
1143	Ua	0	(0.0101886 0.0130353 0)	58.4659	(0.0498085 0.0148949 -2.71874e-20)
1144	Ua	0	(0.0101886 0.0130353 0)	58.4871	(0.0498085 0.0148949 -2.71874e-20)
1145	Ua	0	(0.0101886 0.0130353 0)	58.508	(0.0498085 0.0148949 -2.71874e-20)
1146	Ua	0	(0.0101886 0.0130353 0)	58.5287	(0.0498085 0.0148949 -2.71874e-20)
1147	Ua	0	(0.0101886 0.0130353 0)	58.549	(0.0498085 0.0148949 -2.71874e-20)
1148	Ua	0	(0.0101886 0.0130353 0)	58.5691	(0.0498085 0.0148949 -2.71874e-20)
1149	Ua	0	(0.0101886 0.0130353 0)	58.5889	(0.0498085 0.0148949 -2.71874e-20)
1150	Ua	0	(0.0101886 0.0130353 0)	58.6084	(0.0498085 0.0148949 -2.71874e-20)
1151	Ua	0	(0.0101886 0.0130353 0)	58.6276	(0.0498085 0.0148949 -2.71874e-20)
1152	Ua	0	(0.0101886 0.0130353 0)	58.6466	(0.0498085 0.0148949 -2.71874e-20)
1153	Ua	0	(0.0101886 0.0130353 0)	58.6654	(0.0498085 0.0148949 -2.71874e-20)
1154	Ua	0	(0.0101886 0.0130353 0)	58.684	(0.0498085 0.0148949 -2.71874e-20)
1155	Ua	0	(0.0101886 0.0130353 0)	58.7024	(0.0498085 0.0148949 -2.71874e-20)
1156	Ua	0	(0.0101886 0.0130353 0)	58.7207	(0.0498085 0.0148949 -2.71874e-20)
1157	Ua	0	(0.0101886 0.0130353 0)	58.7387	(0.0498085 0.0148949 -2.71874e-20)
1158	Ua	0	(0.0101886 0.0130353 0)	58.7565	(0.0498085 0.0148949 -2.71874e-20)
1159	Ua	0	(0.0101886 0.0130353 0)	58.7741	(0.0498085 0.0148949 -2.71874e-20)
1160	Ua	0	(0.0101886 0.0130353 0)	58.7915	(0.0498085 0.0148949 -2.71874e-20)
1161	Ua	0	(0.0101886 0.0130353 0)	58.8086	(0.0498085 0.0148949 -2.71874e-20)
1162	Ua	0	(0.0101886 0.0130353 0)	58.8256	(0.0498085 0.0148949 -2.71874e-20)
1163	Ua	0	(0.0101886 0.0130353 0)	58.8423	(0.0498085 0.0148949 -2.71874e-20)
1164	Ua	0	(0.0101886 0.0130353 0)	58.8588	(0.0498085 0.0148949 -2.71874e-20)
1165	Ua	0	(0.0101886 0.0130353 0)	58.875	(0.0498085 0.0148949 -2.71874e-20)
1166	Ua	0	(0.0101886 0.0130353 0)	58.8911	(0.0498085 0.0148949 -2.71874e-20)
1167	Ua	0	(0.0101886 0.0130353 0)	58.9069	(0.0498085 0.0148949 -2.71874e-20)
1168	Ua	0	(0.0101886 0.0130353 0)	58.9225	(0.0498085 0.0148949 -2.71874e-20)
1169	Ua	0	(0.0101886 0.0130353 0)	58.9379	(0.0498085 0.0148949 -2.71874e-20)
1170	Ua	0	(0.0101886 0.0130353 0)	58.9531	(0.0498085 0.0148949 -2.71874e-20)
1171	Ua	0	(0.0101886 0.0130353 0)	58.9682	(0.0498085 0.0148949 -2.71874e-20)
1172	Ua	0	(0.0101886 0.0130353 0)	58.9831	(0.0498085 0.0148949 -2.71874e-20)
