# Time	field	min	position(min)	max	position(max)
1104	Ua	0	(0 0.0093083 0)	0.50033	(0.282367 0.0166671 3.10551e-20)
1105	Ua	0	(0 0.0093083 0)	0.501531	(0.282367 0.0166671 3.10551e-20)
1106	Ua	0	(0 0.0093083 0)	0.502703	(0.282367 0.0166671 3.10551e-20)
1107	Ua	0	(0 0.0093083 0)	0.503994	(0.281079 0.0165131 2.11046e-20)
1108	Ua	0	(0 0.0093083 0)	0.505284	(0.281079 0.0165131 2.11046e-20)
1109	Ua	0	(0 0.0093083 0)	0.506542	(0.281079 0.0165131 2.11046e-20)
1110	Ua	0	(0 0.0093083 0)	0.507769	(0.281079 0.0165131 2.11046e-20)
1111	Ua	0	(0 0.0093083 0)	0.508966	(0.281079 0.0165131 2.11046e-20)
1112	Ua	0	(0 0.0093083 0)	0.510132	(0.281079 0.0165131 2.11046e-20)
1113	Ua	0	(0 0.0093083 0)	0.51127	(0.281079 0.0165131 2.11046e-20)
1114	Ua	0	(0 0.0093083 0)	0.512378	(0.281079 0.0165131 2.11046e-20)
1115	Ua	0	(0 0.0093083 0)	0.513458	(0.281079 0.0165131 2.11046e-20)
1116	Ua	0	(0 0.0093083 0)	0.514618	(0.279794 0.0163603 4.17618e-20)
1117	Ua	0	(0 0.0093083 0)	0.515805	(0.279794 0.0163603 4.17618e-20)
1118	Ua	0	(0 0.0093083 0)	0.516963	(0.279794 0.0163603 4.17618e-20)
1119	Ua	0	(0 0.0093083 0)	0.518089	(0.279794 0.0163603 4.17618e-20)
1120	Ua	0	(0 0.0093083 0)	0.519186	(0.279794 0.0163603 4.17618e-20)
1121	Ua	0	(0 0.0093083 0)	0.520254	(0.279794 0.0163603 4.17618e-20)
1122	Ua	0	(0 0.0093083 0)	0.521292	(0.279794 0.0163603 4.17618e-20)
1123	Ua	0	(0 0.0093083 0)	0.522301	(0.279794 0.0163603 4.17618e-20)
1124	Ua	0	(0 0.0093083 0)	0.523286	(0.278511 0.016209 0)
1125	Ua	0	(0 0.0093083 0)	0.524399	(0.278511 0.016209 0)
1126	Ua	0	(0 0.0093083 0)	0.525481	(0.278511 0.016209 0)
1127	Ua	0	(0 0.0093083 0)	0.526533	(0.278511 0.016209 0)
1128	Ua	0	(0 0.0093083 0)	0.527555	(0.278511 0.016209 0)
1129	Ua	0	(0 0.0093083 0)	0.528547	(0.278511 0.016209 0)
1130	Ua	0	(0 0.0093083 0)	0.529509	(0.278511 0.016209 0)
1131	Ua	0	(0 0.0093083 0)	0.530443	(0.278511 0.016209 0)
1132	Ua	0	(0 0.0093083 0)	0.531349	(0.278511 0.016209 0)
1133	Ua	0	(0 0.0093083 0)	0.532375	(0.277231 0.0160597 6.3936e-20)
1134	Ua	0	(0 0.0093083 0)	0.533378	(0.277231 0.0160597 6.3936e-20)
1135	Ua	0	(0 0.0093083 0)	0.534352	(0.277231 0.0160597 6.3936e-20)
1136	Ua	0	(0 0.0093083 0)	0.535295	(0.277231 0.0160597 6.3936e-20)
1137	Ua	0	(0 0.0093083 0)	0.53621	(0.277231 0.0160597 6.3936e-20)
1138	Ua	0	(0 0.0093083 0)	0.537096	(0.277231 0.0160597 6.3936e-20)
1139	Ua	0	(0 0.0093083 0)	0.537954	(0.277231 0.0160597 6.3936e-20)
1140	Ua	0	(0 0.0093083 0)	0.538832	(0.275953 0.0159128 -1.04824e-20)
1141	Ua	0	(0 0.0093083 0)	0.539785	(0.275953 0.0159128 -1.04824e-20)
1142	Ua	0	(0 0.0093083 0)	0.540709	(0.275953 0.0159128 -1.04824e-20)
1143	Ua	0	(0 0.0093083 0)	0.541605	(0.275953 0.0159128 -1.04824e-20)
1144	Ua	0	(0 0.0093083 0)	0.542472	(0.275953 0.0159128 -1.04824e-20)
1145	Ua	0	(0 0.0093083 0)	0.543311	(0.275953 0.0159128 -1.04824e-20)
1146	Ua	0	(0 0.0093083 0)	0.544124	(0.275953 0.0159128 -1.04824e-20)
1147	Ua	0	(0 0.0093083 0)	0.54491	(0.275953 0.0159128 -1.04824e-20)
1148	Ua	0	(0 0.0093083 0)	0.545812	(0.274678 0.0157687 0)
1149	Ua	0	(0 0.0093083 0)	0.546688	(0.274678 0.0157687 0)
1150	Ua	0	(0 0.0093083 0)	0.547536	(0.274678 0.0157687 0)
1151	Ua	0	(0 0.0093083 0)	0.548357	(0.274678 0.0157687 0)
1152	Ua	0	(0 0.0093083 0)	0.549151	(0.274678 0.0157687 0)
1153	Ua	0	(0 0.0093083 0)	0.54992	(0.274678 0.0157687 0)
1154	Ua	0	(0 0.0093083 0)	0.550664	(0.274678 0.0157687 0)
1155	Ua	0	(0 0.0093083 0)	0.551509	(0.273405 0.015628 0)
1156	Ua	0	(0 0.0093083 0)	0.552339	(0.273405 0.015628 0)
1157	Ua	0	(0 0.0093083 0)	0.553143	(0.273405 0.015628 0)
1158	Ua	0	(0 0.0093083 0)	0.55392	(0.273405 0.015628 0)
